id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1326292146119389185,1326289421432459265,2020-11-10 16:34:23 Central Standard Time,2020-11-10,16:34:23,-0600,811691838868508672,kyberkombat,nate ✯,,@CyrusGarretson Bet,und,[],[],[],0,0,1,[],[],https://twitter.com/kyberkombat/status/1326292146119389185,False,,0,,,,,,,,"[{'screen_name': 'CyrusGarretson', 'name': 'Cyrus', 'id': '1025547467436249088'}]",,,,
1326289711791476736,1326254813630357508,2020-11-10 16:24:43 Central Standard Time,2020-11-10,16:24:43,-0600,811691838868508672,kyberkombat,nate ✯,,@gh0stlyaxi0m No but actually y’all look like entirely different people and I look like I did 4 years ago if not slightly worse,en,[],[],[],0,0,1,[],[],https://twitter.com/kyberkombat/status/1326289711791476736,False,,0,,,,,,,,"[{'screen_name': 'gh0stlyaxi0m', 'name': 'weather ☁️', 'id': '1078706893911142405'}]",,,,
1326289421432459265,1326289421432459265,2020-11-10 16:23:33 Central Standard Time,2020-11-10,16:23:33,-0600,811691838868508672,kyberkombat,nate ✯,,I am so uninspired to make anything it’s frustrating anyone want to go on a long ass road trip and explore the meaning of life,en,[],[],[],2,0,5,[],[],https://twitter.com/kyberkombat/status/1326289421432459265,False,,0,,,,,,,,[],,,,
1326256955950829572,1326202606755209219,2020-11-10 14:14:33 Central Standard Time,2020-11-10,14:14:33,-0600,811691838868508672,kyberkombat,nate ✯,,@Fr3sh3ggsGod They did not need to kill her and keep fuckin Freddie Lounds and Chilton alive but that’s just me !,en,[],[],[],1,0,2,[],[],https://twitter.com/kyberkombat/status/1326256955950829572,False,,0,,,,,,,,"[{'screen_name': 'Fr3sh3ggsGod', 'name': 'nyanbinary🧚🏻', 'id': '1270435734063808512'}]",,,,
1326256614509260801,1326202606755209219,2020-11-10 14:13:12 Central Standard Time,2020-11-10,14:13:12,-0600,811691838868508672,kyberkombat,nate ✯,,@Fr3sh3ggsGod I miss Beverly,en,[],[],[],1,0,2,[],[],https://twitter.com/kyberkombat/status/1326256614509260801,False,,0,,,,,,,,"[{'screen_name': 'Fr3sh3ggsGod', 'name': 'nyanbinary🧚🏻', 'id': '1270435734063808512'}]",,,,
1326201318596370437,1326186572056834050,2020-11-10 10:33:28 Central Standard Time,2020-11-10,10:33:28,-0600,811691838868508672,kyberkombat,nate ✯,,@milkbaggy__ LMAO,ht,[],[],[],0,0,1,[],[],https://twitter.com/kyberkombat/status/1326201318596370437,False,,0,,,,,,,,"[{'screen_name': 'milkbaggy__', 'name': 'A D R I A N', 'id': '1242267157901111296'}]",,,,
1326201076723412992,1326186572056834050,2020-11-10 10:32:30 Central Standard Time,2020-11-10,10:32:30,-0600,811691838868508672,kyberkombat,nate ✯,,@milkbaggy__ Yeah lol just copy the og tweet link and paste it into ur reply,en,[],[],[],1,0,0,[],[],https://twitter.com/kyberkombat/status/1326201076723412992,False,,0,,,,,,,,"[{'screen_name': 'milkbaggy__', 'name': 'A D R I A N', 'id': '1242267157901111296'}]",,,,
1326198167336067072,1326186572056834050,2020-11-10 10:20:57 Central Standard Time,2020-11-10,10:20:57,-0600,811691838868508672,kyberkombat,nate ✯,,Since the beginning of 7th grade so like 5-6 years maybe,en,[],[],[],1,0,0,[],[],https://twitter.com/kyberkombat/status/1326198167336067072,False,https://twitter.com/catglrllsm/status/1325931359903211520,0,,,,,,,,[],,,,
1326197854369697792,1326186572056834050,2020-11-10 10:19:42 Central Standard Time,2020-11-10,10:19:42,-0600,811691838868508672,kyberkombat,nate ✯,,I don’t really celebrate weeks or days tbh. I don’t even know when it is,en,[],[],[],1,0,0,[],[],https://twitter.com/kyberkombat/status/1326197854369697792,False,https://twitter.com/catglrllsm/status/1325931358812663808,0,,,,,,,,[],,,,
1326197603248304129,1326186572056834050,2020-11-10 10:18:42 Central Standard Time,2020-11-10,10:18:42,-0600,811691838868508672,kyberkombat,nate ✯,,"No fucking idea I just like pretty and interesting things . Statues, old maps, libraries, probably just in general something eerily or serenely beautiful",en,[],[],[],1,0,0,[],[],https://twitter.com/kyberkombat/status/1326197603248304129,False,https://twitter.com/catglrllsm/status/1325931357587959809,0,,,,,,,,[],,,,
