id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1326198161413599233,1326198161413599233,2020-11-10 10:20:55 Central Standard Time,2020-11-10,10:20:55,-0600,1318434721752174592,crockpotmother,💃🏻🎃🐸🎃💃🏻,,i wish i was able to do things without being embarrassed i would do literally anything i wanted i'd be so FREE,en,[],[],[],0,0,0,[],[],https://twitter.com/crockpotmother/status/1326198161413599233,False,,0,,,,,,,,[],,,,
1326038542502359042,1326038542502359042,2020-11-09 23:46:39 Central Standard Time,2020-11-09,23:46:39,-0600,1318434721752174592,crockpotmother,💃🏻🎃🐸🎃💃🏻,,GOD FUCKING DAMN IT,en,[],[],[],0,0,0,[],[],https://twitter.com/crockpotmother/status/1326038542502359042,False,,0,,,,,,,,[],,,,
1325708576871034882,1325708576871034882,2020-11-09 01:55:29 Central Standard Time,2020-11-09,01:55:29,-0600,1318434721752174592,crockpotmother,💃🏻🎃🐸🎃💃🏻,,"if my irls caught me simping for a MAN last night,,  no they didn't",en,[],[],[],0,0,0,[],[],https://twitter.com/crockpotmother/status/1325708576871034882,False,,0,,,,,,,,[],,,,
1325708478233473024,1325708478233473024,2020-11-09 01:55:06 Central Standard Time,2020-11-09,01:55:06,-0600,1318434721752174592,crockpotmother,💃🏻🎃🐸🎃💃🏻,,anyway i think i'm in love,en,[],[],[],0,0,0,[],[],https://twitter.com/crockpotmother/status/1325708478233473024,False,,0,,,,,,,,[],,,,
1325708139144962048,1325707992604368896,2020-11-09 01:53:45 Central Standard Time,2020-11-09,01:53:45,-0600,1318434721752174592,crockpotmother,💃🏻🎃🐸🎃💃🏻,,i mean i kinda already figured about the first two but the adhd was a little unexpected ngl,en,[],[],[],0,0,0,[],[],https://twitter.com/crockpotmother/status/1325708139144962048,False,,0,,,,,,,,[],,,,
1325707992604368896,1325707992604368896,2020-11-09 01:53:10 Central Standard Time,2020-11-09,01:53:10,-0600,1318434721752174592,crockpotmother,💃🏻🎃🐸🎃💃🏻,,went to therapy yesterday and got diagnosed with anxiety depression AND adhd 😃👍,en,[],[],[],1,0,0,[],[],https://twitter.com/crockpotmother/status/1325707992604368896,False,,0,,,,,,,,[],,,,
1325707862375424000,1325707862375424000,2020-11-09 01:52:39 Central Standard Time,2020-11-09,01:52:39,-0600,1318434721752174592,crockpotmother,💃🏻🎃🐸🎃💃🏻,,having an identity crisis,en,[],[],[],0,0,0,[],[],https://twitter.com/crockpotmother/status/1325707862375424000,False,,0,,,,,,,,[],,,,
1325704644564193280,1325704644564193280,2020-11-09 01:39:52 Central Standard Time,2020-11-09,01:39:52,-0600,1318434721752174592,crockpotmother,💃🏻🎃🐸🎃💃🏻,,HELP  https://t.co/ID6K68GrxX,en,[],[],['https://pbs.twimg.com/media/EmXZWP3VMAMYaXM.jpg'],0,0,0,[],[],https://twitter.com/crockpotmother/status/1325704644564193280,False,,1,https://pbs.twimg.com/media/EmXZWP3VMAMYaXM.jpg,,,,,,,[],,,,
1321893672326066176,1321893672326066176,2020-10-29 14:16:25 Central Daylight Time,2020-10-29,14:16:25,-0600,1318434721752174592,crockpotmother,💃🏻🎃🐸🎃💃🏻,,calling the girl pretty now she has to know i like her come on,en,[],[],[],0,0,0,[],[],https://twitter.com/crockpotmother/status/1321893672326066176,False,,0,,,,,,,,[],,,,
1319147706242117632,1319147706242117632,2020-10-22 00:24:56 Central Daylight Time,2020-10-22,00:24:56,-0600,1318434721752174592,crockpotmother,💃🏻🎃🐸🎃💃🏻,,why does nobody like facetiming?,en,[],[],[],0,0,0,[],[],https://twitter.com/crockpotmother/status/1319147706242117632,False,,0,,,,,,,,[],,,,
1319147661979611137,1319147626311237632,2020-10-22 00:24:45 Central Daylight Time,2020-10-22,00:24:45,-0600,1318434721752174592,crockpotmother,💃🏻🎃🐸🎃💃🏻,,i have no friends sj jjxjanajxhxj,en,[],[],[],0,0,0,[],[],https://twitter.com/crockpotmother/status/1319147661979611137,False,,0,,,,,,,,[],,,,
1319147626311237632,1319147626311237632,2020-10-22 00:24:37 Central Daylight Time,2020-10-22,00:24:37,-0600,1318434721752174592,crockpotmother,💃🏻🎃🐸🎃💃🏻,,pls i want irls so bad,en,[],[],[],1,0,0,[],[],https://twitter.com/crockpotmother/status/1319147626311237632,False,,0,,,,,,,,[],,,,
1319144627664949250,1319144627664949250,2020-10-22 00:12:42 Central Daylight Time,2020-10-22,00:12:42,-0600,1318434721752174592,crockpotmother,💃🏻🎃🐸🎃💃🏻,,the way my best friend will facetime w her other friends all the fucking time but the minute i want to ft it's too late 😐,en,[],[],[],0,0,0,[],[],https://twitter.com/crockpotmother/status/1319144627664949250,False,,0,,,,,,,,[],,,,
1318636955203035136,1318636955203035136,2020-10-20 14:35:23 Central Daylight Time,2020-10-20,14:35:23,-0600,1318434721752174592,crockpotmother,💃🏻🎃🐸🎃💃🏻,,i want to show y'all the drawing when i'm done but i can't reveal who the girl is,en,[],[],[],0,0,0,[],[],https://twitter.com/crockpotmother/status/1318636955203035136,False,,0,,,,,,,,[],,,,
1318636002731126784,1318437504693932034,2020-10-20 14:31:36 Central Daylight Time,2020-10-20,14:31:36,-0600,1318434721752174592,crockpotmother,💃🏻🎃🐸🎃💃🏻,,forgot i said this oops,en,[],[],[],0,0,0,[],[],https://twitter.com/crockpotmother/status/1318636002731126784,False,,0,,,,,,,,[],,,,
1318438539311239168,1318438539311239168,2020-10-20 01:26:57 Central Daylight Time,2020-10-20,01:26:57,-0600,1318434721752174592,crockpotmother,💃🏻🎃🐸🎃💃🏻,,not me writing stuff for her i hate it here,en,[],[],[],0,0,0,[],[],https://twitter.com/crockpotmother/status/1318438539311239168,False,,0,,,,,,,,[],,,,
