id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1326289770365014016,1326288392599048193,2020-11-10 16:24:57 Central Standard Time,2020-11-10,16:24:57,-0600,1246795213840007170,angstyfanboi,carol;ʲᵃᶦ'ˢ ˡᵒᵛᵉᵇᵒᵗ,,"@fengqingtrash ikr, like??? hello have you looked at me???? or are you too scared???",en,[],[],[],0,0,0,[],[],https://twitter.com/angstyfanboi/status/1326289770365014016,False,,0,,,,,,,,"[{'screen_name': 'fengqingtrash', 'name': 'cae', 'id': '1239991425317638145'}]",,,,
1326289409562587155,1326288095713648641,2020-11-10 16:23:31 Central Standard Time,2020-11-10,16:23:31,-0600,1246795213840007170,angstyfanboi,carol;ʲᵃᶦ'ˢ ˡᵒᵛᵉᵇᵒᵗ,,@txjsbraids all the cuddles you want 🥺🥺🥺🥺,en,[],[],[],0,0,1,[],[],https://twitter.com/angstyfanboi/status/1326289409562587155,False,,0,,,,,,,,"[{'screen_name': 'txjsbraids', 'name': 'saffron⁵⁴| dilucs bitch', 'id': '1253098398686875649'}]",,,,
1326289238565023747,1326288095713648641,2020-11-10 16:22:50 Central Standard Time,2020-11-10,16:22:50,-0600,1246795213840007170,angstyfanboi,carol;ʲᵃᶦ'ˢ ˡᵒᵛᵉᵇᵒᵗ,,"@txjsbraids i do the dishes and the laundry, won't mess with your stuff, will also respect you and cuddle you!",en,[],[],[],1,0,1,[],[],https://twitter.com/angstyfanboi/status/1326289238565023747,False,,0,,,,,,,,"[{'screen_name': 'txjsbraids', 'name': 'saffron⁵⁴| dilucs bitch', 'id': '1253098398686875649'}]",,,,
1326288780819533824,1326288095713648641,2020-11-10 16:21:01 Central Standard Time,2020-11-10,16:21:01,-0600,1246795213840007170,angstyfanboi,carol;ʲᵃᶦ'ˢ ˡᵒᵛᵉᵇᵒᵗ,,"@txjsbraids taking care of the adoption papers, how's it going for you, kiddo?",en,[],[],[],1,0,1,[],[],https://twitter.com/angstyfanboi/status/1326288780819533824,False,,0,,,,,,,,"[{'screen_name': 'txjsbraids', 'name': 'saffron⁵⁴| dilucs bitch', 'id': '1253098398686875649'}]",,,,
1326288557829459971,1326288095713648641,2020-11-10 16:20:08 Central Standard Time,2020-11-10,16:20:08,-0600,1246795213840007170,angstyfanboi,carol;ʲᵃᶦ'ˢ ˡᵒᵛᵉᵇᵒᵗ,,@txjsbraids fuck her. saf is valid and i love them so fucking much. they only deserve support so now I'M their mom,en,[],[],[],1,0,2,[],[],https://twitter.com/angstyfanboi/status/1326288557829459971,False,,0,,,,,,,,"[{'screen_name': 'txjsbraids', 'name': 'saffron⁵⁴| dilucs bitch', 'id': '1253098398686875649'}]",,,,
1326288392599048193,1326288392599048193,2020-11-10 16:19:28 Central Standard Time,2020-11-10,16:19:28,-0600,1246795213840007170,angstyfanboi,carol;ʲᵃᶦ'ˢ ˡᵒᵛᵉᵇᵒᵗ,,"still not over the fact a guy had the audacity to say ""look for the hottest guy around and that's me"" on the phone when i was RIGHT THERE",en,[],[],[],1,0,5,[],[],https://twitter.com/angstyfanboi/status/1326288392599048193,False,,0,,,,,,,,[],,,,
1326276858111995906,1326276858111995906,2020-11-10 15:33:38 Central Standard Time,2020-11-10,15:33:38,-0600,1246795213840007170,angstyfanboi,carol;ʲᵃᶦ'ˢ ˡᵒᵛᵉᵇᵒᵗ,,"i put a plate, with a golden reflective circle on the edge, with a waffle on the microwave and then it nearly blew up",en,[],[],[],0,0,0,[],[],https://twitter.com/angstyfanboi/status/1326276858111995906,False,https://twitter.com/444hottie/status/1325599407929233408,0,,,,,,,,[],,,,
1326267894020366336,1326265325789343746,2020-11-10 14:58:01 Central Standard Time,2020-11-10,14:58:01,-0600,1246795213840007170,angstyfanboi,carol;ʲᵃᶦ'ˢ ˡᵒᵛᵉᵇᵒᵗ,,@mybloodisteal circus is in town!!!!,en,[],[],[],0,0,0,[],[],https://twitter.com/angstyfanboi/status/1326267894020366336,False,,0,,,,,,,,"[{'screen_name': 'mybloodisteal', 'name': 'Coldest Light 🌙', 'id': '1258534672549675008'}]",,,,
1326267824340410369,1326265478311010305,2020-11-10 14:57:44 Central Standard Time,2020-11-10,14:57:44,-0600,1246795213840007170,angstyfanboi,carol;ʲᵃᶦ'ˢ ˡᵒᵛᵉᵇᵒᵗ,,@mybloodisteal KQNSKWJKSJSKAKAJAJAJAH,it,[],[],[],0,0,0,[],[],https://twitter.com/angstyfanboi/status/1326267824340410369,False,,0,,,,,,,,"[{'screen_name': 'mybloodisteal', 'name': 'Coldest Light 🌙', 'id': '1258534672549675008'}]",,,,
1326265805256990721,1326265325789343746,2020-11-10 14:49:43 Central Standard Time,2020-11-10,14:49:43,-0600,1246795213840007170,angstyfanboi,carol;ʲᵃᶦ'ˢ ˡᵒᵛᵉᵇᵒᵗ,,"@mybloodisteal PLEASE, I'M FUCKING GONE",en,[],[],[],1,0,1,[],[],https://twitter.com/angstyfanboi/status/1326265805256990721,False,,0,,,,,,,,"[{'screen_name': 'mybloodisteal', 'name': 'Coldest Light 🌙', 'id': '1258534672549675008'}]",,,,
1326265549454794752,1326265478311010305,2020-11-10 14:48:42 Central Standard Time,2020-11-10,14:48:42,-0600,1246795213840007170,angstyfanboi,carol;ʲᵃᶦ'ˢ ˡᵒᵛᵉᵇᵒᵗ,,"@mybloodisteal I CAN'T BREATHE HEL, I AM LITERALLY CHOKING",en,[],[],[],1,0,1,[],[],https://twitter.com/angstyfanboi/status/1326265549454794752,False,,0,,,,,,,,"[{'screen_name': 'mybloodisteal', 'name': 'Coldest Light 🌙', 'id': '1258534672549675008'}]",,,,
1326237615776030720,1326220632862969859,2020-11-10 12:57:42 Central Standard Time,2020-11-10,12:57:42,-0600,1246795213840007170,angstyfanboi,carol;ʲᵃᶦ'ˢ ˡᵒᵛᵉᵇᵒᵗ,,@hwhysang 🥰🥰🥰🥰🥰,und,[],[],[],0,0,1,[],[],https://twitter.com/angstyfanboi/status/1326237615776030720,False,,0,,,,,,,,"[{'screen_name': 'hwhysang', 'name': 'condiment anti ❌🤬', 'id': '1259966936319954947'}]",,,,
1326236444072038401,1325735928112013312,2020-11-10 12:53:03 Central Standard Time,2020-11-10,12:53:03,-0600,1246795213840007170,angstyfanboi,carol;ʲᵃᶦ'ˢ ˡᵒᵛᵉᵇᵒᵗ,,@_lanergege gu wei psps,in,[],[],[],0,0,0,[],[],https://twitter.com/angstyfanboi/status/1326236444072038401,False,,0,,,,,,,,"[{'screen_name': '_lanergege', 'name': 'cheryl🌧 yibo me x4 edit📌', 'id': '2286209160'}]",,,,
