id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1325946148616540160,1325946148616540160,2020-11-09 17:39:31 Central Standard Time,2020-11-09,17:39:31,-0600,457525419,tessa_thrasherr,Tess 🌻,,Was officially diagnosed with severe depression today. How fun🤩,en,[],[],[],0,0,0,[],[],https://twitter.com/Tessa_Thrasherr/status/1325946148616540160,False,,0,,,,,,,,[],,,,
1320773605597347841,1320773605597347841,2020-10-26 12:05:41 Central Daylight Time,2020-10-26,12:05:41,-0600,457525419,tessa_thrasherr,Tess 🌻,,GOD BLESS,en,[],[],[],0,0,0,[],[],https://twitter.com/Tessa_Thrasherr/status/1320773605597347841,False,https://twitter.com/Crocs/status/1320757257764769794,0,,,,,,,,[],,,,
1318629832113139712,1318629832113139712,2020-10-20 14:07:05 Central Daylight Time,2020-10-20,14:07:05,-0600,457525419,tessa_thrasherr,Tess 🌻,,"Feet pics, 50$ a piece. Dm me😩🤩",en,[],[],[],0,1,2,[],[],https://twitter.com/Tessa_Thrasherr/status/1318629832113139712,False,,0,,,,,,,,[],,,,
1317230336808452098,1317230336808452098,2020-10-16 17:25:59 Central Daylight Time,2020-10-16,17:25:59,-0600,457525419,tessa_thrasherr,Tess 🌻,,"I have 1800$ in move in costs in like a month, who tryin to help a girl out 👀 sugar daddies wya",en,[],[],[],1,0,1,[],[],https://twitter.com/Tessa_Thrasherr/status/1317230336808452098,False,,0,,,,,,,,[],,,,
1314047298024943616,1314047298024943616,2020-10-07 22:37:44 Central Daylight Time,2020-10-07,22:37:44,-0600,457525419,tessa_thrasherr,Tess 🌻,,Do i buy the Justin Bieber crocs🤔,en,[],[],[],0,0,0,[],[],https://twitter.com/Tessa_Thrasherr/status/1314047298024943616,False,,0,,,,,,,,[],,,,
1313621576093519872,1313507268684640259,2020-10-06 18:26:04 Central Daylight Time,2020-10-06,18:26:04,-0600,457525419,tessa_thrasherr,Tess 🌻,,@shakirazyx For Hannah and I’s house warming party👀👀,en,[],[],[],1,0,0,[],[],https://twitter.com/Tessa_Thrasherr/status/1313621576093519872,False,,0,,,,,,,,"[{'screen_name': 'shakirazyx', 'name': 'shakira marie', 'id': '305233809'}]",,,,
1301970257192640514,1301970257192640514,2020-09-04 14:47:53 Central Daylight Time,2020-09-04,14:47:53,-0600,457525419,tessa_thrasherr,Tess 🌻,,"Hannah got the job, my bestfriend is moving to Michigan and we’re getting an apartment 🥺🥺🥺",en,[],[],[],0,0,1,[],[],https://twitter.com/Tessa_Thrasherr/status/1301970257192640514,False,,0,,,,,,,,[],,,,
1300241429764231169,1300241429764231169,2020-08-30 20:18:08 Central Daylight Time,2020-08-30,20:18:08,-0600,457525419,tessa_thrasherr,Tess 🌻,,Love love love,en,[],[],[],0,0,0,[],[],https://twitter.com/Tessa_Thrasherr/status/1300241429764231169,False,https://twitter.com/lukecombs/status/1300236974918381568,0,,,,,,,,[],,,,
1299346094812549124,1299344018632060934,2020-08-28 09:00:24 Central Daylight Time,2020-08-28,09:00:24,-0600,457525419,tessa_thrasherr,Tess 🌻,,@shakirazyx Can’t wait !!!,en,[],[],[],0,0,1,[],[],https://twitter.com/Tessa_Thrasherr/status/1299346094812549124,False,,0,,,,,,,,"[{'screen_name': 'shakirazyx', 'name': 'shakira marie', 'id': '305233809'}]",,,,
1299344018632060934,1299344018632060934,2020-08-28 08:52:09 Central Daylight Time,2020-08-28,08:52:09,-0600,457525419,tessa_thrasherr,Tess 🌻,,Am i touring apartments with my bestfriend tomorrow?? Yess🥺😩,en,[],[],[],1,0,2,[],[],https://twitter.com/Tessa_Thrasherr/status/1299344018632060934,False,,0,,,,,,,,[],,,,
1294627508512530432,1294379191375364097,2020-08-15 08:30:25 Central Daylight Time,2020-08-15,08:30:25,-0600,457525419,tessa_thrasherr,Tess 🌻,,@sarahcoasts Ooo the sunflower 🥺,en,[],[],[],0,0,1,[],[],https://twitter.com/Tessa_Thrasherr/status/1294627508512530432,False,,0,,,,,,,,"[{'screen_name': 'sarahcoasts', 'name': 'sarah 🍂', 'id': '90491994'}]",,,,
1291461490764021764,1290874442189606913,2020-08-06 14:49:48 Central Daylight Time,2020-08-06,14:49:48,-0600,457525419,tessa_thrasherr,Tess 🌻,,@cassthrash Ma’am....,pt,[],[],[],0,0,1,[],[],https://twitter.com/Tessa_Thrasherr/status/1291461490764021764,False,,0,,,,,,,,"[{'screen_name': 'cassthrash', 'name': 'cass', 'id': '574033371'}]",,,,
1290440421391446025,1290440421391446025,2020-08-03 19:12:26 Central Daylight Time,2020-08-03,19:12:26,-0600,457525419,tessa_thrasherr,Tess 🌻,,I’m so over being an adult and car owner,en,[],[],[],0,0,0,[],[],https://twitter.com/Tessa_Thrasherr/status/1290440421391446025,False,,0,,,,,,,,[],,,,
